2022-09-26 15:04:26 | MainProcess | MainThread | book.py | book.parse:115 | SUCCESS: {'book_name': '基督山伯爵', 'author': '[法] 大仲马', 'publisher': '陕西师范大学出版社', 'produce': '新华先锋', 'pubTime': '2022-6-20', 'pageNum': '1424', 'price': '168.00元', 'binding': '平装', 'ISBN': '9787569525779', 'category': '名著', 'score': '9.6', 'commented': '39', 'link': 'https://book.douban.com/subject/35868339/'}
2022-09-26 15:04:26 | MainProcess | MainThread | book.py | book.parse:115 | SUCCESS: {'book_name': '', 'author': '', 'publisher': '', 'produce': '', 'pubTime': '', 'pageNum': '', 'price': '', 'binding': '', 'ISBN': '', 'category': '诗歌', 'score': '', 'commented': '', 'link': 'https://book.douban.com/subject/1417385/'}
2022-09-26 15:04:27 | MainProcess | MainThread | book.py | book.parse:115 | SUCCESS: {'book_name': '椿树峁', 'author': '谢侯之', 'publisher': '中华书局', 'produce': '', 'pubTime': '2022-7-31', 'pageNum': '246', 'price': '46.00', 'binding': '平装', 'ISBN': '9787101158182', 'category': '散文', 'score': '8.9', 'commented': '34', 'link': 'https://book.douban.com/subject/36058569/'}
2022-09-26 15:04:28 | MainProcess | MainThread | book.py | book.parse:115 | SUCCESS: {'book_name': '诗经', 'author': '', 'publisher': '北京出版社', 'produce': '', 'pubTime': '2006-7', 'pageNum': '363', 'price': '19.90元', 'binding': '平装', 'ISBN': '9787200065039', 'category': '古典文学', 'score': '9.5', 'commented': '25302', 'link': 'https://book.douban.com/subject/1883245/'}
2022-09-26 15:04:28 | MainProcess | MainThread | book.py | book.parse:115 | SUCCESS: {'book_name': '四月三日事件', 'author': '余华', 'publisher': '人民文学出版社', 'produce': '99读书人', 'pubTime': '2018-4', 'pageNum': '686', 'price': '99.00', 'binding': '平装', 'ISBN': '9787020138739', 'category': '余华', 'score': '7.6', 'commented': '423', 'link': 'https://book.douban.com/subject/30142313/'}
2022-09-26 15:04:28 | MainProcess | MainThread | book.py | book.parse:115 | SUCCESS: {'book_name': '目送', 'author': '', 'publisher': '生活·读书·新知三联书店', 'produce': '', 'pubTime': '2009-10', 'pageNum': '281', 'price': '39.00元', 'binding': '平装', 'ISBN': '9787108032911', 'category': '散文', 'score': '8.6', 'commented': '205309', 'link': 'https://book.douban.com/subject/3995526/'}
2022-09-26 15:04:29 | MainProcess | MainThread | book.py | book.parse:115 | SUCCESS: {'book_name': '我没有自己的名字', 'author': '余华', 'publisher': '人民文学出版社', 'produce': '99读书人', 'pubTime': '2017-1', 'pageNum': '236', 'price': '58.00', 'binding': '精装', 'ISBN': '9787020121922', 'category': '余华', 'score': '7.7', 'commented': '535', 'link': 'https://book.douban.com/subject/26907736/'}
2022-09-26 15:04:29 | MainProcess | MainThread | book.py | book.parse:115 | SUCCESS: {'book_name': '顾城的诗', 'author': '顾城', 'publisher': '人民文学出版社', 'produce': '', 'pubTime': '1998-12', 'pageNum': '403', 'price': '20.00', 'binding': '平装', 'ISBN': '9787020025862', 'category': '诗歌', 'score': '8.8', 'commented': '24199', 'link': 'https://book.douban.com/subject/1033825/'}
2022-09-26 15:04:29 | MainProcess | MainThread | book.py | book.parse:115 | SUCCESS: {'book_name': '战争与和平', 'author': '[俄] 列夫·托尔斯泰', 'publisher': '上海译文出版社', 'produce': '', 'pubTime': '2022-6', 'pageNum': '', 'price': '698.00元', 'binding': '精装', 'ISBN': '9787532787913', 'category': '名著', 'score': '9.1', 'commented': '57', 'link': 'https://book.douban.com/subject/35659862/'}
2022-09-26 15:04:30 | MainProcess | MainThread | book.py | book.parse:115 | SUCCESS: {'book_name': '', 'author': '', 'publisher': '', 'produce': '', 'pubTime': '', 'pageNum': '', 'price': '', 'binding': '', 'ISBN': '', 'category': '经典', 'score': '', 'commented': '', 'link': 'https://book.douban.com/subject/6811366/'}
2022-09-26 15:04:30 | MainProcess | MainThread | book.py | book.parse:115 | SUCCESS: {'book_name': '经典的诞生', 'author': '托马斯·奥利夫里', 'publisher': '中国画报出版社', 'produce': '', 'pubTime': '2022-5', 'pageNum': '248', 'price': '198', 'binding': '精装', 'ISBN': '9787514620702', 'category': '经典', 'score': '8.1', 'commented': '23', 'link': 'https://book.douban.com/subject/35740171/'}
2022-09-26 15:04:30 | MainProcess | MainThread | book.py | book.parse:115 | SUCCESS: {'book_name': '白鲸', 'author': '[美] 赫尔曼·麦尔维尔', 'publisher': '后浪', 'produce': '后浪', 'pubTime': '2021-8', 'pageNum': '680', 'price': '148.00元', 'binding': '精装', 'ISBN': '9787559456502', 'category': '经典', 'score': '8.7', 'commented': '686', 'link': 'https://book.douban.com/subject/35524699/'}
2022-09-26 15:04:30 | MainProcess | MainThread | book.py | book.parse:115 | SUCCESS: {'book_name': '象人', 'author': '维克瑞', 'publisher': '外语教学与研究出版社', 'produce': '', 'pubTime': '1998-8', 'pageNum': '56', 'price': '2.90', 'binding': '平装(无盘)', 'ISBN': '9787560014500', 'category': '名著', 'score': '7.3', 'commented': '1025', 'link': 'https://book.douban.com/subject/1017906/'}
2022-09-26 15:04:30 | MainProcess | MainThread | book.py | book.parse:115 | SUCCESS: {'book_name': '', 'author': '', 'publisher': '', 'produce': '', 'pubTime': '', 'pageNum': '', 'price': '', 'binding': '', 'ISBN': '', 'category': '余华', 'score': '', 'commented': '', 'link': 'https://book.douban.com/subject/1076690/'}
2022-09-26 15:04:31 | MainProcess | MainThread | book.py | book.parse:115 | SUCCESS: {'book_name': '余华评传', 'author': '', 'publisher': '郑州大学出版社', 'produce': '', 'pubTime': '2005-1', 'pageNum': '262', 'price': '23.00元', 'binding': '简裝本', 'ISBN': '9787810489829', 'category': '余华', 'score': '7.3', 'commented': '124', 'link': 'https://book.douban.com/subject/1199548/'}
2022-09-26 15:04:31 | MainProcess | MainThread | book.py | book.parse:115 | SUCCESS: {'book_name': '商君书', 'author': '商鞅', 'publisher': '中华书局', 'produce': '', 'pubTime': '2011-9', 'pageNum': '181', 'price': '14.00元', 'binding': '精装', 'ISBN': '9787101081992', 'category': '名著', 'score': '8.4', 'commented': '1162', 'link': 'https://book.douban.com/subject/6879362/'}
2022-09-26 15:04:32 | MainProcess | MainThread | book.py | book.parse:115 | SUCCESS: {'book_name': '许三观卖血记', 'author': '余华', 'publisher': '江苏文艺出版社', 'produce': '', 'pubTime': '1996-6', 'pageNum': '255页', 'price': '10.50元', 'binding': '平装', 'ISBN': '9787539909455', 'category': '余华', 'score': '8.6', 'commented': '184', 'link': 'https://book.douban.com/subject/2137787/'}
2022-09-26 15:04:33 | MainProcess | MainThread | book.py | book.parse:115 | SUCCESS: {'book_name': 'JOJO的奇妙冒險JOJOLion 09', 'author': '荒木飛呂彥', 'publisher': '吳勵誠', 'produce': '', 'pubTime': '2015-5-11', 'pageNum': '192', 'price': 'NT$100', 'binding': '平装', 'ISBN': '9789863828662', 'category': '经典', 'score': '9.2', 'commented': '184', 'link': 'https://book.douban.com/subject/26304973/'}
2022-09-26 15:04:33 | MainProcess | MainThread | book.py | book.parse:115 | SUCCESS: {'book_name': '日瓦戈医生', 'author': '', 'publisher': '北京十月文艺出版社', 'produce': '新经典文化', 'pubTime': '2015-4', 'pageNum': '631', 'price': '49.80元', 'binding': '精装', 'ISBN': '9787530214671', 'category': '名著', 'score': '8.5', 'commented': '412', 'link': 'https://book.douban.com/subject/26337311/'}
2022-09-26 15:04:33 | MainProcess | MainThread | book.py | book.parse:115 | SUCCESS: {'book_name': '活出生命的意义', 'author': '[奥] 维克多·弗兰克', 'publisher': '华夏出版社', 'produce': '', 'pubTime': '2010-6', 'pageNum': '204', 'price': '29.00元', 'binding': '平装', 'ISBN': '9787508058993', 'category': '经典', 'score': '8.6', 'commented': '21635', 'link': 'https://book.douban.com/subject/5330333/'}
2022-09-26 15:04:34 | MainProcess | MainThread | book.py | book.parse:115 | SUCCESS: {'book_name': '唐代使府与文学研究', 'author': '戴伟华', 'publisher': '广西师范大学出版社', 'produce': '', 'pubTime': '2007-10', 'pageNum': '216', 'price': '30.00元', 'binding': '平装', 'ISBN': '9787563325382', 'category': '古典文学', 'score': '8.3', 'commented': '19', 'link': 'https://book.douban.com/subject/2310843/'}
