2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['古龙', '89386', 'https://book.douban.com/tag/古龙', 2]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['高木直子', '80347', 'https://book.douban.com/tag/高木直子', 2]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['沧月', '69392', 'https://book.douban.com/tag/沧月', 2]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['余秋雨', '65444', 'https://book.douban.com/tag/余秋雨', 2]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['王朔', '58673', 'https://book.douban.com/tag/王朔', 2]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['历史', '3306022', 'https://book.douban.com/tag/历史', 3]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['心理学', '2174387', 'https://book.douban.com/tag/心理学', 3]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['哲学', '1927331', 'https://book.douban.com/tag/哲学', 3]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['社会学', '1403918', 'https://book.douban.com/tag/社会学', 3]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['传记', '1147953', 'https://book.douban.com/tag/传记', 3]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['文化', '1094015', 'https://book.douban.com/tag/文化', 3]
