2022-09-23 00:42:45 | MainProcess | MainThread | book.py | book.parse_item:75 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E8%AE%BE%E8%AE%A1
2022-09-23 00:42:45 | MainProcess | MainThread | book.py | book.parse_item:75 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E4%B8%AD%E5%9B%BD%E5%8E%86%E5%8F%B2
2022-09-23 00:42:45 | MainProcess | MainThread | book.py | book.parse_item:75 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E6%95%B0%E5%AD%A6
2022-09-23 00:42:45 | MainProcess | MainThread | book.py | book.parse_item:75 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E5%9B%BD%E5%AD%A6
2022-09-23 00:42:45 | MainProcess | MainThread | book.py | book.parse_item:75 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E4%BA%BA%E6%96%87
2022-09-23 00:42:46 | MainProcess | MainThread | book.py | book.parse_item:75 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E7%BB%98%E7%94%BB
2022-09-23 00:42:47 | MainProcess | MainThread | book.py | book.parse_item:75 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E7%88%B1%E6%83%85
2022-09-23 00:42:48 | MainProcess | MainThread | book.py | book.parse_item:75 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E5%BF%83%E7%90%86
2022-09-23 00:44:22 | MainProcess | MainThread | book.py | book.parse_item:75 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E6%9D%91%E4%B8%8A%E6%98%A5%E6%A0%91
2022-09-23 00:44:24 | MainProcess | MainThread | book.py | book.parse_item:75 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E6%8E%A8%E7%90%86
2022-09-23 00:44:24 | MainProcess | MainThread | book.py | book.parse_item:75 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E7%A7%91%E5%B9%BB
2022-09-23 00:44:25 | MainProcess | MainThread | book.py | book.parse_item:75 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E6%AD%A6%E4%BE%A0
2022-09-23 00:44:28 | MainProcess | MainThread | book.py | book.parse_item:75 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E5%B9%BE%E7%B1%B3
2022-09-23 00:44:30 | MainProcess | MainThread | book.py | book.parse_item:75 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E5%BB%BA%E7%AD%91
2022-09-23 00:44:33 | MainProcess | MainThread | book.py | book.parse_item:75 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E6%88%90%E9%95%BF
2022-09-23 00:44:39 | MainProcess | MainThread | book.py | book.parse_item:75 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E4%BC%81%E4%B8%9A%E5%8F%B2
2022-09-23 00:44:40 | MainProcess | MainThread | book.py | book.parse_item:75 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E7%BC%96%E7%A8%8B
2022-09-23 00:49:19 | MainProcess | MainThread | book.py | book.parse_item:75 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E6%AD%A6%E4%BE%A0
2022-09-23 00:49:19 | MainProcess | MainThread | book.py | book.parse_item:75 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E5%A4%96%E5%9B%BD%E5%90%8D%E8%91%97
2022-09-23 00:49:23 | MainProcess | MainThread | book.py | book.parse_item:75 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E7%8E%8B%E6%9C%94
2022-09-23 00:49:23 | MainProcess | MainThread | book.py | book.parse_item:75 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E5%93%B2%E5%AD%A6
2022-09-23 00:49:24 | MainProcess | MainThread | book.py | book.parse_item:75 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E8%AE%BE%E8%AE%A1
2022-09-23 00:49:30 | MainProcess | MainThread | book.py | book.parse_item:75 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E4%BA%BA%E9%99%85%E5%85%B3%E7%B3%BB
2022-09-23 00:49:31 | MainProcess | MainThread | book.py | book.parse_item:75 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E8%87%AA%E5%8A%A9%E6%B8%B8
2022-09-23 00:49:31 | MainProcess | MainThread | book.py | book.parse_item:75 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E6%89%8B%E5%B7%A5
2022-09-23 00:49:31 | MainProcess | MainThread | book.py | book.parse_item:75 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E5%95%86%E4%B8%9A
2022-09-23 00:49:32 | MainProcess | MainThread | book.py | book.parse_item:75 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E5%88%9B%E4%B8%9A
2022-09-23 08:12:52 | MainProcess | MainThread | book.py | book.parse_item:75 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E6%96%87%E5%AD%A6
2022-09-23 08:12:54 | MainProcess | MainThread | book.py | book.parse_item:75 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E9%92%B1%E9%92%9F%E4%B9%A6
2022-09-23 08:12:58 | MainProcess | MainThread | book.py | book.parse_item:75 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E5%AE%89%E5%A6%AE%E5%AE%9D%E8%B4%9D
2022-09-23 08:13:17 | MainProcess | MainThread | book.py | book.parse_item:75 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E6%B8%B8%E8%AE%B0
2022-09-23 08:13:19 | MainProcess | MainThread | book.py | book.parse_item:75 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E7%BB%8F%E6%B5%8E
2022-09-23 08:13:21 | MainProcess | MainThread | book.py | book.parse_item:75 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E5%B9%BF%E5%91%8A
2022-09-23 08:13:24 | MainProcess | MainThread | book.py | book.parse_item:75 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/UCD
2022-09-23 08:14:44 | MainProcess | MainThread | book.py | book.parse_item:75 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E7%94%9F%E6%B4%BB
